Block,Block_Group,County,State,Tract,US
0/1,417438644/643626590907,370142640/214437516707,282013440/214437516707,0/1,794337856/1929937650363
0/1,417438644/643626590907,370142640/214437516707,282013440/214437516707,0/1,794337856/1929937650363
0/1,417438644/643626590907,370142640/214437516707,282013440/214437516707,0/1,794337856/1929937650363
0/1,417438644/643626590907,370142640/214437516707,282013440/214437516707,0/1,794337856/1929937650363
0/1,417438644/643626590907,370142640/214437516707,282013440/214437516707,0/1,794337856/1929937650363
0/1,417438644/643626590907,370142640/214437516707,282013440/214437516707,0/1,1588675712/1929937650363
0/1,417438644/214542196969,1036399392/214437516707,564026880/214437516707,0/1,3971689280/1929937650363
0/1,3339509152/643626590907,1036399392/214437516707,564026880/214437516707,0/1,3971689280/1929937650363
0/1,440397769420/1930879772721,3738440664/214437516707,94004480/12613971571,0/1,794337856/113525744139
0/1,537660973472/1930879772721,27908755056/214437516707,10810515200/214437516707,0/1,641580576/12613971571
0/1,711732888020/1930879772721,115706589264/214437516707,177339451520/214437516707,0/1,NA
